,Link_ID,Origin_ID,Destination_ID
0,3,2827,686
1,5,3357,4187
2,6,4187,3357
3,7,4187,3341
4,8,3341,4187
5,9,3341,3333
6,10,3333,3341
7,11,4187,4188
8,12,4188,4187
9,13,4187,3345
10,14,3345,4187
11,17,3360,3067
12,18,3067,3360
13,26,2104,3380
14,27,3380,2104
15,49,3510,4478
16,50,4478,3510
17,51,4478,4475
18,52,4475,4478
19,53,4475,2500
20,54,2500,4475
21,55,2500,2504
22,56,2504,2500
23,67,4384,4475
24,68,4475,4384
25,75,3401,2301
26,76,2301,3401
27,81,3732,3064
28,82,3064,3732
29,83,3736,4188
30,84,4188,3736
31,94,7334,2104
32,95,7334,3380
33,96,2104,7334
34,101,2322,2326
35,102,2326,2322
36,103,2326,2328
37,104,2328,2326
38,105,2328,2329
39,106,2329,2328
40,107,2329,2332
41,108,2332,2329
42,109,2827,688
43,110,688,2827
44,113,2301,2409
45,118,4357,2414
46,119,2414,4357
47,124,2414,2417
48,125,2417,2414
49,128,686,2827
50,129,3393,3395
51,130,3395,3393
52,131,3395,3397
53,132,3397,3395
54,140,3694,3695
55,141,3695,3694
56,146,3695,4636
57,147,4636,3695
58,148,4636,3212
59,149,3212,4636
60,150,3212,4618
61,151,4618,3212
62,152,3698,4618
63,153,4618,3698
64,156,2507,2504
65,157,2504,2507
66,162,2929,2400
67,163,2400,2929
68,165,2843,4273
69,166,4273,2843
70,167,4273,4043
71,168,4043,4273
72,169,4273,4353
73,170,4353,4273
74,172,4351,4368
75,180,4351,2845
76,184,2845,4351
77,185,2845,4043
78,186,4043,2845
79,187,4043,4045
80,188,4045,4043
81,189,4045,3820
82,190,3820,4045
83,191,4350,3820
84,192,3820,4350
85,193,4351,4350
86,194,4350,4351
87,195,4351,4353
88,196,4353,4351
89,197,335,575
90,198,575,335
91,201,339,576
92,202,576,339
93,209,575,576
94,210,576,575
95,213,4526,4567
96,214,4567,4526
97,215,4567,2929
98,216,2929,4567
99,217,2929,4566
100,218,4566,2929
101,219,4566,2908
102,220,2908,4566
103,221,2908,2910
104,222,2910,2908
105,223,2910,4567
106,224,4567,2910
107,227,4373,4435
108,228,4435,4373
109,231,2417,2419
110,232,2419,2417
111,241,256,3172
112,242,3172,256
113,243,3172,620
114,244,620,3172
115,245,620,1114
116,246,1114,620
117,251,3680,4710
